Representation,Train_Acc_Mean,Train_Acc_Std,Test_Acc_Mean,Test_Acc_Std,Train_F1_Mean,Test_F1_Mean,Test_F1_Std,Overfitting_Gap,C_regularization,PCA_applied
Morgan FP,0.861214953271028,0.0029921141296415195,0.8345794392523365,0.023753766405866968,0.48404365332254085,0.4648579792141316,0.022551269930206546,0.026635514018691575,0.01,False
MACCS Keys,0.9647196261682243,0.005086808658195624,0.8934579439252335,0.014296316393250819,0.923861219560985,0.7923097262157446,0.028983445466957244,0.07126168224299079,1.0,False
RDKit Descriptors,0.9850467289719627,0.0011446213751323262,0.8897196261682243,0.014953271028037386,0.9766213353600512,0.7670502736277621,0.043192218771789845,0.09532710280373835,1.0,False
Mordred Descriptors,0.994392523364486,0.0011446213751323262,0.8672897196261682,0.018122167691275996,0.9896195320619714,0.7365573534160186,0.04208932835207401,0.12710280373831784,1.0,True
RDKit+MACCS,0.9880841121495326,0.0020098890810846958,0.9009345794392523,0.014894745280849747,0.9804222331919554,0.784999182065268,0.02128520899734763,0.08714953271028036,0.1,False
Transformer,1.0,0.0,0.9018691588785046,0.008866199047201064,1.0,0.7471518171964844,0.05177816058643927,0.0981308411214954,1.0,True
