Representation,Best_C,PCA_Applied,N_Features,Train_Acc,Test_Acc,Test_Acc_Std,Test_F1,Test_F1_Std,Gap,Status
Morgan FP,10.0,True,100,0.9981308411214954,0.9242990654205607,0.01334846435241654,0.8131123595658994,0.011369990383990048,0.07383177570093469,SLIGHT
MACCS Keys,1.0,False,167,0.9717289719626168,0.8925233644859812,0.012185425056453567,0.7995434681202409,0.030009120666465862,0.07920560747663552,SLIGHT
RDKit Descriptors,10.0,False,153,0.9915887850467289,0.8869158878504673,0.01629494932164737,0.769714074174748,0.052050853624928936,0.1046728971962616,OVERFIT
Mordred Descriptors,1.0,True,100,0.9964953271028036,0.8700934579439252,0.026334584679636223,0.7526089340677393,0.042150838984320926,0.1264018691588784,OVERFIT
RDKit+MACCS,1.0,True,100,0.994392523364486,0.8934579439252337,0.019469781921495014,0.8145978019853279,0.034526566424501366,0.10093457943925233,OVERFIT
Transformer,1.0,True,100,1.0,0.8990654205607477,0.010065728611466356,0.7436036871951701,0.048148188841405745,0.10093457943925233,OVERFIT
