representation,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std
Morgan FP,0.959254327563249,0.00347227824511458,0.9003095975232197,0.01012719952557035,0.7927547194393376,0.03271603299318361,0.6086155041924584,0.03259703237887517
MACCS Keys,0.8727030625832224,0.0030654765467966138,0.8352941176470587,0.017838836273545423,0.6287523047161654,0.022300274252818993,0.5536099803937569,0.03885771792941781
RDKit Descriptors,0.9209054593874834,0.002595684246287304,0.8520123839009288,0.016294362064322953,0.8352257087186464,0.03283871636193785,0.6163802530294981,0.05611385366268352
Mordred Descriptors,0.9949400798934752,0.0011140612869960903,0.9015479876160992,0.015541672319518425,0.9890190964893731,0.004452481115497459,0.7229887825818592,0.05439543576443533
RDKit+MACCS,0.9896138482023968,0.0028867487867748074,0.905263157894737,0.019531653616826634,0.9799397199240657,0.003450811760175713,0.790959825699707,0.05937179576941609
Transformer,0.9992010652463381,0.0007293243109256437,0.9077399380804954,0.013565883777217727,0.9996292335115864,0.0003384619487852067,0.7197451488180856,0.08295019499744834
