representation,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std
Morgan FP,0.9981358189081225,0.0007293243109256437,0.9287925696594428,0.014355446587454617,0.9917312491430138,0.00428807675725385,0.7576529406652093,0.06878647426269786
MACCS Keys,0.9643142476697737,0.0064136322656683335,0.8885448916408668,0.01818473703478441,0.9161715742299144,0.018744235297985214,0.7500258298650138,0.04657579005779094
RDKit+MACCS,0.9978695073235686,0.0007293243109256437,0.9195046439628485,0.019580666626429592,0.9916271346631543,0.0043427215066708675,0.8230990744935079,0.04650530833931884
Transformer,1.0,0.0,0.9126934984520123,0.014587268098315455,1.0,0.0,0.7346861818417872,0.07423495439494289
