representation,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std
Morgan FP,0.9981308411214954,0.0005723106875661971,0.930841121495327,0.011968456518566088,0.9921116181848746,0.0036622888273501963,0.7969838604197863,0.024415955564069135
MACCS Keys,0.9647196261682243,0.005086808658195624,0.8934579439252335,0.014296316393250819,0.923861219560985,0.016567157969074032,0.7923097262157446,0.028983445466957244
RDKit+MACCS,0.2439252336448598,0.00046728971962617383,0.2439252336448598,0.001869158878504673,0.024511631190652687,3.777048254439003e-05,0.024511418996930528,0.00015065754273323878
Transformer,1.0,0.0,0.9046728971962616,0.014357281771717047,1.0,0.0,0.757438550449039,0.041153654145400724
